name,url
Annual CO2 emissions,https://raw.githubusercontent.com/owid/owid-datasets/master/datasets/Annual%20CO2%20emissions%20-%20(Global%20Carbon%20Project%20%26%20CDIAC%2C%202019)/Annual%20CO2%20emissions%20-%20(Global%20Carbon%20Project%20%26%20CDIAC%2C%202019).csv
Land surface temperature anomaly,https://raw.githubusercontent.com/owid/owid-datasets/master/datasets/Land%20surface%20temperature%20anomaly-%20Berkley%20Earth/Land%20surface%20temperature%20anomaly-%20Berkley%20Earth.csv
Number of polio cases per one million,https://raw.githubusercontent.com/owid/owid-datasets/master/datasets/Number%20of%20polio%20cases%20per%20one%20million%20population%20-%20WHO%20(2017)/Number%20of%20polio%20cases%20per%20one%20million%20population%20-%20WHO%20(2017).csv
